timestamp,river,zone,latitude,longitude,temperature,humidity,rainfall,pressure,wind_speed,cloud_cover
2026-06-03 13:12:41,Krishna,K4_Nagarjuna_Sagar,16.575,79.3167,34.9,43,0.0,994.8,7.9,51
2026-06-03 13:12:41,Krishna,K5_Vijayawada_Delta,16.5062,80.648,34.2,51,0.0,996.7,1.0,52
2026-06-03 13:12:41,Narmada,N1_Amarkantak,22.6747,81.759,25.8,59,0.0,892.1,3.5,22
2026-06-03 13:12:41,Narmada,N2_Jabalpur,23.1815,79.9864,34.7,34,0.0,955.3,7.4,8
2026-06-03 13:12:41,Narmada,N3_Omkareshwar,22.2452,76.151,35.6,38,0.0,980.0,9.2,4
2026-06-03 13:12:41,Narmada,N4_Bharuch,21.7051,72.9959,33.0,58,0.0,1000.5,17.5,1
2026-06-03 13:12:41,Kaveri,C1_Talakaveri,12.3855,75.4894,17.8,99,0.1,869.2,5.7,100
2026-06-03 13:12:41,Kaveri,C2_Kodagu,12.3375,75.8069,21.4,93,0.1,912.6,8.5,93
2026-06-03 13:12:41,Kaveri,C3_Mysuru_KRS,12.2958,76.6394,24.2,74,0.0,926.8,19.3,77
2026-06-03 13:12:41,Kaveri,C4_Mettur_Dam,11.787,77.8008,29.1,84,0.3,983.2,4.9,96
2026-06-03 13:12:41,Kaveri,C5_Thanjavur_Delta,10.7867,79.1378,32.2,50,0.0,998.6,13.4,14
2026-06-03 13:47:50,Krishna,K1_Mahabaleshwar,17.9237,73.6586,19.6,87,0.0,862.6,8.7,87
2026-06-03 13:47:50,Krishna,K2_Sangli_Almatti,16.8544,74.5642,28.5,56,0.0,946.3,12.3,100
2026-06-03 13:47:50,Krishna,K3_Raichur_Kurnool,16.2076,77.3463,27.5,69,0.0,962.5,14.7,82
2026-06-03 13:47:50,Krishna,K4_Nagarjuna_Sagar,16.575,79.3167,34.6,46,0.0,995.5,2.1,74
2026-06-03 13:47:50,Krishna,K5_Vijayawada_Delta,16.5062,80.648,33.7,55,0.0,997.3,7.2,88
2026-06-03 13:47:50,Narmada,N1_Amarkantak,22.6747,81.759,25.0,59,0.0,892.4,4.7,17
2026-06-03 13:47:50,Narmada,N2_Jabalpur,23.1815,79.9864,34.0,36,0.0,955.9,5.2,25
2026-06-03 13:47:50,Narmada,N3_Omkareshwar,22.2452,76.151,34.5,41,0.0,980.4,8.4,7
2026-06-03 13:47:50,Narmada,N4_Bharuch,21.7051,72.9959,31.9,63,0.0,1001.0,17.1,1
